Image type,Image index,Memorability score,Distinctiveness,Reconstruction error
Target,1,0.374705882352941,45135.8359375,0.02052956617173164
Target,2,0.372222222222222,82885.125,0.10121185954338585
Target,3,0.749417249417249,87009.453125,0.06894979585125853
Target,4,0.310180456247872,65549.921875,0.046434840868418426
Target,5,0.354863221884498,97710.1484375,0.08598048750961074
Target,6,0.69718137254902,73554.5234375,0.059164503336148054
Target,7,0.558377425044092,67906.7890625,0.04790546996275266
Target,8,0.441352739726027,51056.28515625,0.02074507146010846
Target,9,0.305472138805472,58606.0859375,0.03194475023101959
Target,10,0.504367980032091,81923.78125,0.07584244868178026
Target,11,0.681212121212121,67668.3359375,0.045400784804892166
Target,12,0.380056724884311,45359.43359375,0.02105328323417493
Target,13,0.500937766410912,62628.05078125,0.04134942696171314
Target,14,0.445212959592282,56536.11328125,0.03212615775842993
Target,15,0.560606060606061,56137.0703125,0.033864260542857204
Target,16,0.742673992673993,39737.15625,0.015607947474710794
Target,17,0.642735042735043,64116.37109375,0.04102744537678887
Target,18,0.506521739130435,71387.71875,0.05689041448290438
Target,19,0.639987686624596,96949.28125,0.11878295638555077
Target,20,0.380192977753953,60848.4609375,0.03721520850706976
Target,21,0.441666666666667,54324.734375,0.028660735730117095
Target,22,0.64174053182917,71654.5859375,0.046382151859054595
Target,23,0.828550222662048,35492.01171875,0.018686423795239954
Target,24,0.498842592592593,68690.9140625,0.05318993406367664
Target,25,0.430735930735931,50088.1796875,0.01701716015372145
Target,26,0.606338297059947,72308.171875,0.06539060173974019
Target,27,0.76,52770.59765625,0.03169730029919426
Target,28,0.511321091103584,47996.9453125,0.026990664394346515
Target,29,0.416666666666667,89564.9453125,0.10535897928043625
Target,30,0.63849590469099,52210.81640625,0.020333491887868083
Target,31,0.538886400955366,77167.2890625,0.06328342271692199
Target,32,0.421534936998855,60841.80859375,0.044556547142662065
Target,33,0.607851918196746,79886.3125,0.06862241086829449
Target,34,0.674373379429559,59666.15625,0.03638038479627043
Target,35,0.666438668490652,38692.08984375,0.011494165860878357
Target,36,0.267450980392157,80298.7734375,0.06018774645517817
Target,37,0.462218294299602,53399.640625,0.03196551275801608
Target,38,0.421009882225531,74068.828125,0.04358788294923268
Target,39,0.462642465175179,60407.0625,0.03379008443928404
Target,40,0.305667337357478,61777.671875,0.04008967391422419
Target,41,0.598863636363636,84458.1015625,0.07253291552568744
Target,42,0.551936527821276,96854.8984375,0.08541696702518797
Target,43,0.421732522796353,81498.953125,0.06870439421990295
Target,44,0.590932117527862,74119.28125,0.06951852112131171
Target,45,0.593910491562729,57888.72265625,0.036261491970910484
Target,46,0.304945054945055,73619.1484375,0.05404941457424688
Target,47,0.694901960784314,50148.07421875,0.02274516417342462
Target,48,0.660734787600459,51943.328125,0.03275828441265645
Target,49,0.48562091503268,65233.6015625,0.051159798715121656
Target,50,0.531335616438356,70879.890625,0.04629112364145892
Target,51,0.53299276287782,94080.2578125,0.08728362258364639
Target,52,0.450914634146341,63140.5703125,0.047470399019280865
Target,53,0.455112927023039,59596.015625,0.030443341862983687
Target,54,0.54605859257022,74457.03125,0.04950830052798032
Target,55,0.631172839506173,93650.5859375,0.08387184417262676
Target,56,0.629166666666667,66404.46875,0.04322395655036717
Target,57,0.702205882352941,48594.96484375,0.019521973604057573
Target,58,0.53209549071618,68259.9140625,0.03613000629477789
Target,59,0.529470529470529,74134.359375,0.04679487337422439
Target,60,0.794771241830065,78700.4140625,0.07275557241816376
Target,61,0.704607046070461,75064.8046875,0.06366814016635577
Target,62,0.727703455964326,93994.0078125,0.08365514829791555
Target,63,0.407428015022952,76139.671875,0.0683723076875764
Target,64,0.404537990744887,75870.2265625,0.07289794124443465
Target,65,0.677382319173364,67642.2734375,0.03716764117070584
Target,66,0.450114591291062,109201.0625,0.1254776471723972
Target,67,0.423837209302326,66727.5703125,0.04270586901827613
Target,68,0.319762323943662,70863.3671875,0.04145140463392583
Target,69,0.540173217854763,65431.12109375,0.034257799305082104
Target,70,0.510049751243781,45286.89453125,0.023495801295238643
Target,71,0.454689298043728,59950.9375,0.04562660656162304
Target,72,0.620908646800195,92488.96875,0.0876989518994766
Target,73,0.496732026143791,52440.3984375,0.030474558249334135
Target,74,0.464190981432361,82398.7734375,0.07431093107926175
Target,75,0.426608187134503,51006.33984375,0.02666409787133217
Target,76,0.780844155844156,88509.265625,0.07016918732388407
Target,77,0.258712268428553,58349.265625,0.03645584641117456
Target,78,0.492654508611955,44420.29296875,0.021904908282058398
Target,79,0.72801724137931,67328.359375,0.04540659593020014
Target,80,0.432534246575342,74867.2265625,0.06364657971126977
Target,81,0.600982878883957,64150.7890625,0.04314039072054051
Target,82,0.517981749865808,79757.1796875,0.06747166172986002
Target,83,0.492229237493929,94103.8046875,0.09333954206372633
Target,84,0.478120516499283,62739.078125,0.04741289858788128
Target,85,0.535428488287502,50963.1875,0.026918951601289064
Target,86,0.697671156004489,62894.1796875,0.037033986031659895
Target,87,0.701568519537699,59051.62109375,0.029056657308443926
Target,88,0.704181184668989,65345.49609375,0.03536101692050208
Target,89,0.394220572640509,53798.7109375,0.028472393151299243
Target,90,0.306207616066771,67680.5859375,0.048075423043369724
Target,91,0.553470919324578,82985.6796875,0.0679256042644273
Target,92,0.574246660453557,71816.7421875,0.06320347645054271
Target,93,0.63755980861244,64428.7265625,0.04575738636698633
Target,94,0.493506493506493,55594.9296875,0.041063362828688214
Target,95,0.738062521470285,69397.9375,0.04809566405766257
Target,96,0.438491295938104,75313.25,0.06562623087402414
Target,97,0.378246753246753,77872.28125,0.060195447764805815
Target,98,0.567315352224878,50793.20703125,0.02418346646748389
Target,99,0.617140396210164,82143.828125,0.06214821508989493
Target,100,0.83312693498452,69864.140625,0.05933421668152025
Target,101,0.423171330387825,81408.5546875,0.074364383218812
Target,102,0.502786377708978,61547.7109375,0.03230227100071802
Target,103,0.556666666666667,78777.6953125,0.060833747249077474
Target,104,0.660184384903486,83371.1875,0.06955992549266188
Target,105,0.552998776009792,78585.0546875,0.07778388667456172
Target,106,0.641414141414141,0.0,0.06550011880748267
Target,107,0.43368700265252,76248.5703125,0.06365996561179257
Target,108,0.273487773487773,38744.390625,0.011427258312442555
Target,109,0.672655007949126,40111.3125,0.011870284977772332
Target,110,0.305978260869565,81313.265625,0.0605615681334318
Target,111,0.750235404896422,88326.921875,0.08110910125399555
Target,112,0.515662078785002,53102.41796875,0.02955804392595175
Target,113,0.741353383458647,29933.990234375,0.012453907164369518
Target,114,0.612750325867994,76738.7421875,0.061500813411847495
Target,115,0.694117647058824,61359.1953125,0.03649364052269909
Target,116,0.375331174565793,78181.671875,0.07431400485977861
Target,117,0.591879384982833,126725.6484375,0.17568445189623902
Target,118,0.57171226831421,94305.9375,0.10689455198536879
Target,119,0.47997997997998,90705.1171875,0.09186262150135585
Target,120,0.689670794321957,70858.2421875,0.05617900623194917
Target,121,0.610257266956231,77038.875,0.060788022180862655
Target,122,0.323484848484848,46349.015625,0.016555139952126836
Target,123,0.594276094276094,75612.8515625,0.06928541697881903
Target,124,0.486373790022338,70049.734375,0.04277190496802847
Target,125,0.616815086432687,66960.6796875,0.05729579591640478
Target,126,0.410747957259585,69162.1015625,0.06576264493745922
Target,127,0.427309236947791,67886.6328125,0.05749109727999105
Target,128,0.596543209876543,69072.6796875,0.05205692679026498
Target,129,0.45155189676271,49521.7109375,0.019893310949581938
Target,130,0.578762414056532,67046.109375,0.05618909892103612
Target,131,0.556252736028017,39215.17578125,0.01198960550362341
Target,132,0.527136752136752,63672.828125,0.04578211807011177
Target,133,0.699968681490761,94031.875,0.07297841309679005
Target,134,0.354341736694678,71621.21875,0.06440305494421386
Target,135,0.799625468164794,65477.74609375,0.04715743919406916
