,sub,condition,hit,fa,dprime,duration,property,Dist,RE
0,55d0d0--REDACTED,Dist_Small_RE_Small_5,0.625,0.562,0.163,5,Dist_Small_RE_Small,Small,Small
1,55d0d0--REDACTED,Dist_Large_RE_Large_5,0.812,0.375,1.204,5,Dist_Large_RE_Large,Large,Large
2,55d0d0--REDACTED,Dist_Large_RE_Small_2,0.688,0.188,1.375,2,Dist_Large_RE_Small,Large,Small
3,55d0d0--REDACTED,Dist_Large_RE_Large_2,0.438,0.25,0.518,2,Dist_Large_RE_Large,Large,Large
4,55d0d0--REDACTED,Dist_Small_RE_Small_10,0.75,0.188,1.56,10,Dist_Small_RE_Small,Small,Small
5,55d0d0--REDACTED,Dist_Large_RE_Small_10,0.812,0.25,1.56,10,Dist_Large_RE_Small,Large,Small
6,55d0d0--REDACTED,Dist_Small_RE_Large_5,0.5,0.125,1.15,5,Dist_Small_RE_Large,Small,Large
7,55d0d0--REDACTED,Dist_Small_RE_Large_2,0.375,0.062,1.22,2,Dist_Small_RE_Large,Small,Large
8,55d0d0--REDACTED,Dist_Small_RE_Small_2,0.312,0.188,0.395,2,Dist_Small_RE_Small,Small,Small
9,55d0d0--REDACTED,Dist_Small_RE_Large_10,0.812,0.438,1.041,10,Dist_Small_RE_Large,Small,Large
10,55d0d0--REDACTED,Dist_Large_RE_Small_5,0.812,0.188,1.771,5,Dist_Large_RE_Small,Large,Small
11,55d0d0--REDACTED,Dist_Large_RE_Large_10,0.875,0.375,1.469,10,Dist_Large_RE_Large,Large,Large
12,5648ea--REDACTED,Dist_Large_RE_Small_10,0.438,0.062,1.382,10,Dist_Large_RE_Small,Large,Small
13,5648ea--REDACTED,Dist_Large_RE_Large_5,0.688,0.438,0.646,5,Dist_Large_RE_Large,Large,Large
14,5648ea--REDACTED,Dist_Small_RE_Small_2,0.5,0.125,1.15,2,Dist_Small_RE_Small,Small,Small
15,5648ea--REDACTED,Dist_Small_RE_Large_2,0.25,0.375,-0.356,2,Dist_Small_RE_Large,Small,Large
16,5648ea--REDACTED,Dist_Small_RE_Large_5,0.5,0.015625,2.154,5,Dist_Small_RE_Large,Small,Large
17,5648ea--REDACTED,Dist_Small_RE_Small_5,0.438,0.375,0.163,5,Dist_Small_RE_Small,Small,Small
18,5648ea--REDACTED,Dist_Large_RE_Large_10,0.75,0.188,1.56,10,Dist_Large_RE_Large,Large,Large
19,5648ea--REDACTED,Dist_Small_RE_Large_10,0.625,0.125,1.469,10,Dist_Small_RE_Large,Small,Large
20,5648ea--REDACTED,Dist_Large_RE_Small_5,0.312,0.062,1.048,5,Dist_Large_RE_Small,Large,Small
21,5648ea--REDACTED,Dist_Large_RE_Large_2,0.312,0.125,0.66,2,Dist_Large_RE_Large,Large,Large
22,5648ea--REDACTED,Dist_Large_RE_Small_2,0.438,0.125,0.994,2,Dist_Large_RE_Small,Large,Small
23,5648ea--REDACTED,Dist_Small_RE_Small_10,0.375,0.015625,1.835,10,Dist_Small_RE_Small,Small,Small
24,571e90--REDACTED,Dist_Small_RE_Small_2,0.75,0.625,0.356,2,Dist_Small_RE_Small,Small,Small
25,571e90--REDACTED,Dist_Large_RE_Large_2,0.75,0.562,0.518,2,Dist_Large_RE_Large,Large,Large
26,571e90--REDACTED,Dist_Large_RE_Small_5,0.75,0.75,0.0,5,Dist_Large_RE_Small,Large,Small
